Désignation;Référence; PU.HT ;;;;;
CONFECTION FLEXIBLE;3/8 LG=1,60 MT C/C; 174,78   ;;;;;
CONFECTION FLEXIBLE;"1"" LG=0,42 MT FF"; 196,89   ;;;;;
REDUCTION;"1""X3/4 NOIR EE"; 105,00   ;;;;;
ADAPTEUR;3/4 MM; 29,40   ;;;;;
BLOC AUXILIARE;LADN 11 SCHNEIDER; 66,67   ;;;;;
RELAIS ;14 BROCHES 24V DC; 100,00   ;;;;;
FILTRE A GASOIL;1182671; 625,91   ;;;;;
CARTOUCHE FILTRANT;4504438; 996,63   ;;;;;
CAPTEUR DE PRESSION;S2/20 Ma 2 FILS 8/30 VCC GM 0/60 BARS; 1 500,00   ;;;;;
CAPTEUR DE PRESSION;S2/20 Ma 2 FILS 8/30 VCC GM 0/25 BARS; 1 500,00   ;;;;;
MOTEUR HYDRAULIQUE;SERIE 60; 8 000,00   ;;;;;
RECHARGE CARTE CARBURANT;N°21742976; 4 545,45   ;;;;;
TUBE EXTERIEUR;101T6 LONG 300MM ; 2 675,00   ;;;;;
TUBE INTERIEUR;101T6 LONG 300MM; 1 725,00   ;;;;;
TUBE NOIR;"1"" TARIF 3 EN 5,80 MT"; 37,00   ;;;;;
JOINT CHEVRON;65X85X22,5; 380,00   ;;;;;
BILLE;D 38MM; 65,00   ;;;;;
ROULEMENT A BILLE;6207 ZZ C3 NTN; 90,00   ;;;;;
ROULEMENT A BILLE;7219 NSK; 1 208,00   ;;;;;
TREUIL HYDRAULIQUE ;MARQUE DYNAMIC OIL; 7 500,00   ;;;;;
ELECTROVANE DISTRIBUTEUR;5/2 MONO G1/4 24DC; 1 064,70   ;;;;;
CONNECTEUR ;EVP/EVF; 47,60   ;;;;;
SILENCIEUX LAITON;"1/8"""; 14,00   ;;;;;
RACCORD RAPIDE;08-1/4 LAITON MALE DROIT; 21,00   ;;;;;
GRAISSEUR DROIT;"1/4"""; 8,40   ;;;;;
REDUCTION;3/8X1/4 MF; 18,00   ;;;;;
JOINT A GAZ;"3/8"""; 5,60   ;;;;;
VIS;TH HR 16X70 A/E; 8,00   ;;;;;
VIS;TH HR 12X120 A/E; 7,00   ;;;;;
VIS;BTR 8X50; 2,50   ;;;;;
VIS;BTR 12X100; 6,00   ;;;;;
VIS;BTR 12X40; 2,50   ;;;;;
VIS;BTR 12X50; 3,00   ;;;;;
BOBINAGE MOTEUR ;1,5KW; 1 290,00   ;;;;;
REPARATION POMPE IMMERGEE;5,5KW; 700,00   ;;;;;
MOTEUR ELECTRIQUE ;3KW 900T/MIN; 1 600,00   ;;;;;
CABLAGE ARMOIRE DE GROUPE ELECTROGENE;150KVA; 2 500,00   ;;;;;
BOUTEILLE FREON;407C EN CONDITIONNEMENT DE 11,30KG; 1 100,00   ;;;;;
CONFECTION D'UN ACCOUPLEMENT;S/M; 800,00   ;;;;;
CONFECTION BRIDE D'ACCOUPLEMENT;S/M; 1 200,00   ;;;;;
CONFECTION REDUCTION;60 CONIQUE F X42 M; 1 000,00   ;;;;;
CONFECTION NIPPLE;D 42MM; 700,00   ;;;;;
CONFECTION TIGE;D 42MM; 400,00   ;;;;;
CONFECTION AXE CENTRALE;S/M; 1 300,00   ;;;;;
CONFECTION D'UN ACCOUPLEMENT;S/M; 1 400,00   ;;;;;
CONFECTION NIPPLE;D 42MM; 700,00   ;;;;;
BATTERIE;12V170 AH M15; 1 583,33   ;;;;;
BATTERIE;12V100 AH L5; 1 041,67   ;;;;;
BATTERIE;12V72 L3; 900,00   ;;;;;
BATTERIE;12V100 AH L5; 1 041,67   ;;;;;
TUBE PEHD;32 PN16; 9,20   ;;;;;
TUBE PEHD;50 PN16; 22,50   ;;;;;
VANNE A BILLE;"1"" SIRAL"; 150,00   ;;;;;
MANCHON ;"1"" NOIR EE"; 14,50   ;;;;;
CABLE ELECTRIQUE SOUPLE;2X1,5MM2; 6,25   ;;;;;
CABLE ELECTRIQUE SOUPLE;4X1,5MM2; 9,58   ;;;;;
CABLE ELECTRIQUE SOUPLE;4X16MM2 RVK; 103,33   ;;;;;
DISJONCTEUR;4P50A; 233,33   ;;;;;
RELAIS ;14 BROCHES 24V DC; 100,00   ;;;;;
TRAITEMENT PIGNON;; 60,00   ;;;;;
BRIDE;234X140X25; 254,89   ;;;;;
ACIER;S275JR; 337,15   ;;;;;
VIS;BTR TC 14X90; 12,00   ;;;;;
TONER;HP 205A JAUNE/CF532; 683,33   ;;;;;
TONER;HP 205A NOIR/CF530; 616,67   ;;;;;
TONER;HP 12A; 125,00   ;;;;;
CARTOUCHE D'IMPRIMANTE;HP 953XL NOIR; 725,00   ;;;;;
CARTOUCHE D'IMPRIMANTE;HP 953XL COULEUR; 541,67   ;;;;;
PAPIER BLANC;A4 PIONNER 80G; 51,67   ;;;;;
PAPIER BLANC;A4 NAVIGATOR 80G; 54,17   ;;;;;
ROULEAU THERMIQUE;; 6,67   ;;;;;
PUNAISE TABLEAU;; 6,67   ;;;;;
LIMITEUR DE DEBIT HYDRAULIQUE;"1/2"""; 2 500,00   ;;;;;
REDUCTEUR DE PRESSION;CETOP 3; 2 350,00   ;;;;;
CONFECTION FLEXIBLE;"1"" LG=6 MT FF"; 1 287,00   ;;;;;
ADAPTEUR;"1"" A GAZ"; 42,00   ;;;;;
TECALENT;4X6 BLANC; 8,21   ;;;;;
POMPE D'EPREUVE;SUPER EGO; 3 166,67   ;;;;;
GANT EN NYLON;ENDUIT LATEX; 15,00   ;;;;;
CABLE DE DEMARRAGE;50MM2; 110,00   ;;;;;
ROULEMENT A BILLE;6207 2RS C3 GULLMAN; 37,00   ;;;;;
DETECTEUR DE PROXIMITE INDUCATIF;IME 18-08BPPZCOS AVEC CABLE ; 460,00   ;;;;;
FILTRE A GASOIL;M323; 65,00   ;;;;;
FILTRE A HUILE ;0118-2001; 145,00   ;;;;;
FILTRE A AIR;FA63989 + FA63990; 500,00   ;;;;;
FILTRE A GASOIL;P550083; 498,00   ;;;;;
LEVIER POUR CLAPET;; 80,00   ;;;;;
PERCAGE ET TARAUDAGE;; 70,00   ;;;;;
ECROU;10-14X100 LL; 10,50   ;;;;;
OLIVE EN LAITON;10MM; 6,90   ;;;;;
CONFECTION TE;8X10X08; 120,00   ;;;;;
UNION DROIT;08-1/4 L; 24,65   ;;;;;
OLIVE EN LAITON;08MM; 5,98   ;;;;;
COUPELLE;G35X45X10; 50,00   ;;;;;
COUPELLE;G35X45X6; 29,17   ;;;;;
CAGE POUSSIERE RACLEUR;35X43X5/7; 40,00   ;;;;;
ECROU;KM 18 ACE; 66,67   ;;;;;
FREIN ;MB 18 ACE; 14,00   ;;;;;
JOINT TORIQUE;55X3,53; 4,17   ;;;;;
ROULEMENT A BILLE;6005 2RS C3 Z2V2 GULLMAN; 16,67   ;;;;;
VIS ;BTR TC 16X50 A/E +RONDELLE GW; 9,00   ;;;;;
CONFECTION PIGNON MATRICE;S/M; 1 500,00   ;;;;;
CONFECTION PIGNON;D 250 MM RESPECRICE; 2 600,00   ;;;;;
PIC ;DS 05X; 275,00   ;;;;;
REPARATION RADIATEUR;JHONE DEERE; 3 500,00   ;;;;;
REPARATION POMPE D'INJECTION;CAT; 4 000,00   ;;;;;
COURNNIERE;40X40X4 EN 6 MT; 123,33   ;;;;;
COURNNIERE;35X35X2,8 EN 6MT; 70,83   ;;;;;
LOCATION CAMION PLATEAU;CASA+BGE WIRGANE; 7 000,00   ;;;;;
VIS;BTR TC 16X70; 9,00   ;;;;;
ECROU;HR 16; 1,50   ;;;;;
RONDELLE;HR 16; 1,00   ;;;;;
BATTERIE;12V150 AH M14; 1 541,67   ;;;;;
ANTIGEL;5LT; 58,33   ;;;;;
MOTEUR HYDRAULIQUE;VOLVO; 6 500,00   ;;;;;
TUBE GALVANISEE;"1"" TARIF 3 EN 5,80 MT"; 68,50   ;;;;;
ROULEMENT A BILLE;7218 B NTN; 950,00   ;;;;;
ROULEMENT A BILLE;6215 2RS ROLLWAY; 316,20   ;;;;;
ARRET D'HUILE;105X130X13; 66,00   ;;;;;
ARRET D'HUILE;45X62X7 A VITON; 157,80   ;;;;;
CONFECTION FLEXIBLE;1/2 LG= 3MT-FF BSP AVEC MAMELON; 416,42   ;;;;;
CONFECTION FLEXIBLE;1/4 LG=1,50 MT C/C; 263,90   ;;;;;
JOINT TORIQUE;120,32X2,62; 5,60   ;;;;;
OBTURATEUR SIMPLE;R 74 LG=1000 MM; 5 577,00   ;;;;;
DILUANT CELLULOSIQUE;SODECSO 5LT; 23,00   ;;;;;
VIS;TH HR 14X90; 12,00   ;;;;;
LOCATION PICK-UP;TOYOTA 18914-B-59; 250,00   ;;;;;
ARRET D'HUILE;44,4X63,6; 28,80   ;;;;;
ARRET D'HUILE;45X65X8; 5,40   ;;;;;
PIC ;DS 05X; 275,00   ;;;;;
CABLAGE ARMOIRE DE PESAGE;; 60 000,00   ;;;;;
CONTACT DE DEMARRAGE ;RENFORCEE; 125,00   ;;;;;
MANO D'HUILE;S/M; 66,67   ;;;;;
VOYANT ;AVEC LAMPE; 33,33   ;;;;;
COSSE DE BATTERIE;DIESEL +/-; 15,00   ;;;;;
BATTERIE;12V100 AH L5; 1 041,67   ;;;;;
CONFECTION FLEXIBLE;1/4 LG=1500MM C/C; 263,90   ;;;;;
ROULEMENT A BILLE;6015 2RS C3 Z2V2 GULLMAN; 100,00   ;;;;;
ELECTRODE ;BASIC 7018 D 4MM; 200,00   ;;;;;
CHIFFON COULEUR;; 8,00   ;;;;;
CLE MALE COUDE;N°17; 40,00   ;;;;;
DISQUE A COUPER;230X3,20; 13,00   ;;;;;
ELECTRODE ;S 2000 3,15; 110,00   ;;;;;
BAGUETTE EN BRONZE;D 3MM; 220,00   ;;;;;
PAPIER ABRSIF;G100; 200,00   ;;;;;
SERVICE PACK;800H BOXD,E 3002609490; 3 900,00   ;;;;;
HUILE ;PAROIL E 20L 1615595400; 1 750,00   ;;;;;
FORFAIT MAIN D'ŒUVRE ET DEPLACEMENT;; 7 000,00   ;;;;;
COURONNE IMPREGNEE;76T2 A6; 3 145,00   ;;;;;
MANCHON ALESEUR;76T2; 1 545,00   ;;;;;
OBTURATEUR SIMPLE;R 54 LG=1000 MM; 4 650,00   ;;;;;
HUILE;DTE 26 208LT; 8 200,00   ;;;;;
ECROU;12-18C150L; 7,00   ;;;;;
OLIVE EN LAITON;12L/S; 4,90   ;;;;;
UNION DROIT;12-3/8 L; 26,46   ;;;;;
JOINT A GAZ;"3/8"""; 5,60   ;;;;;
ADAPTEUR;"3/8"""; 18,00   ;;;;;
TUBE HYDRAULIQUE;9X12 EP 1,5MM; 50,84   ;;;;;
TE EGALE;12L/S; 56,00   ;;;;;
CLAPET PILOTE DOUBLE;"3/8"""; 1 200,00   ;;;;;
BATTERIE;12V100 AH L5; 1 041,67   ;;;;;
POCHETTE DE JOINT;S/M; 730,00   ;;;;;
BOBINAGE MOTEUR ;9 KW; 1 600,00   ;;;;;
REBOBINAGE MOTEUR;4 KW 1500T/MIN; 1 200,00   ;;;;;
MOTEUR MONOPHASE;; 800,00   ;;;;;
BOBINAGE POMPE A EAU;4 KW; 1 300,00   ;;;;;
DURITE D'EAU CHAUD;60 100°; 165,00   ;;;;;
MAMELON;"1"" EE NOIR"; 14,00   ;;;;;
ROULEMENT A BUTEE;51205 VBF; 9,60   ;;;;;
CAGE A AIGUILLE;K35X42X16 V; 37,80   ;;;;;
ROULEMENT A BILLE;6319 2RS C4 ROLLWAY; 1 218,60   ;;;;;
ROULEMENT A AIGUILLE;NA4902 DIV NA; 40,00   ;;;;;
CONFECTION DE SYNCHROUS;AVEC TRAITEMENT ; 3 400,00   ;;;;;
PEINTURE;VERT BOUSKOURA MILAFLEX; 70,00   ;;;;;
PEINTURE;BLANC CASA MILAFLEX; 70,00   ;;;;;
PEINTURE;GRIS LAAYOUNE MILAFLEX; 70,00   ;;;;;
PEINTURE;JAUNE FORD PROFLEX; 80,00   ;;;;;
PEINTURE;GRIS FUME PROFLEX; 80,00   ;;;;;
DILUANT CELLULOSIQUE;SODECSO 5LT; 23,00   ;;;;;
CONFECTION FLEXIBLE;"1"" LG=6 MT FF"; 790,00   ;;;;;
ADAPTEUR;"1"" A GAZ"; 42,00   ;;;;;
CONNECTEUR ;; 58,00   ;;;;;
TUBE SABLE;65X85MM POUR SABLE; 280,12   ;;;;;
COLLIER ROBUSTE;85-91; 24,50   ;;;;;
RACCORD SYMETRIQUE;"3""-90"; 420,00   ;;;;;
COLLIER;94-115; 160,00   ;;;;;
TUYAU GOUDRON;90 180°C; 780,00   ;;;;;
TOLE NOIR;2000X1000X20 ; 4 341,67   ;;;;;
TUBE NOIR;"1"" LG=6 MT"; 108,33   ;;;;;
HUILE;DTE 26 20LT; 1 100,00   ;;;;;
DETECTEUR DE PROXIMITE INDUCATIF;IME 18-08BPPZCOS AVEC CABLE ; 270,00   ;;;;;
CABLE DE CONNEXION ;M12 4P 3 LG=5MTS 4 FILS PVC DOL-2204-G05MNI; 194,44   ;;;;;
HUILE ;DTE 26 20LT; 1 100,00   ;;;;;
HUILE;15W40 SUPER 1300 20LT; 704,17   ;;;;;
FILET DE VIS;180 D TYPE 49 DROITE LG= 6MT; 1 350,00   ;;;;;
SUPPORT FILET DE VIS;180 D TYPE 49 DROITE LG= 6MT; 870,00   ;;;;;
MANCHON ALESEUR;101T6; 1 675,00   ;;;;;
VIS;BTR 12X60 A/E+RONDELLE; 3,60   ;;;;;
VIS;BTR TC 16X60 A/E+RONDELLE; 9,70   ;;;;;
POTENTIOMETRE;534-10K 10 TOURS 2W 10K; 157,00   ;;;;;
BOUTON POUR POTENTIOMETRE;G21S; 28,00   ;;;;;
CONFECTION D'UNE BROCHE;S/M AVEC TRAITEMENT; 3 000,00   ;;;;;
CONFECTION D'UN ECROU;POUR BROCHE; 1 500,00   ;;;;;
CONFECTION EMMENCHEMENT;S/M AVEC TRAITEMENT; 5 000,00   ;;;;;
CONFECTION D'UN ECROU;D'EMMENCHEMENT; 450,00   ;;;;;
ACIER ROND ;42CD4 D 105 LG= 15 mm; 23,00   ;;;;;
CHEMISE;KOMATSU; 1 785,00   ;;;;;
SEGMENT;T5C5 KOMATSU; 977,50   ;;;;;
COUSSINET DE BIELLE;T5D3 KOMATSU; 382,50   ;;;;;
COUSSINET DE PALIER;; 442,00   ;;;;;
POCHETTE DE JOINT;T5A8; 5 780,00   ;;;;;
POCHETTE DE JOINT;T5A8; 4 080,00   ;;;;;
JOINT DAS;63X51X20,5; 120,00   ;;;;;
ROULEMENT A BILLE;6208 2RS ROLLWAY; 62,40   ;;;;;
ROULEMENT A BUTEE;51108 ROLLWAY; 63,60   ;;;;;
ROULEMENT A PALIER;SN509 VBF; 183,00   ;;;;;
ROULEMENT A GALET;22209K ROLLWAY; 286,80   ;;;;;
MANCHON;H309 ROLLWAY; 49,00   ;;;;;
ARRET D'HUILE;45X62X12 NBR; 8,40   ;;;;;
JOINT PISTON HYDRAULIQUE DOUBLE EFFET;63X47X18; 45,00   ;;;;;
JOINT TORIQUE;56,7X3,53; 2,80   ;;;;;
CONFECTION FLEXIBLE;"1""1/4 R2 LG=3MT FF BSP"; 710,70   ;;;;;
ADAPTEUR;"1""1/4 A GAZ"; 87,00   ;;;;;
VANNE A BILLE;"1"" SIRAL"; 161,00   ;;;;;
TUBE EXTERIEUR;101T6 LG=3000MM; 2 675,00   ;;;;;
TUBE INTERIEUR;101T6 LG=3000MM; 1 725,00   ;;;;;
CAISSE A CAROTTE;PVC A 5 RANGERS AVEC COUVERCLE; 195,00   ;;;;;
CHENILLE EN CAOUATCHOUC;230X96X33; 3 200,00   ;;;;;
IMPERMEABLE ;VASTE+PANTALLON; 135,00   ;;;;;
SCOTCH NOIR;50X100; 13,00   ;;;;;
CHAUSSURE DE SECURITE;HAUT P41-P42-P43-P44; 240,00   ;;;;;
ENTRETIEN POMPE A EAU;FLYGT 2640; 14 000,00   ;;;;;
POMPE IMMERGEE;NS96/DA34 7,5CH-5,5KW 380V SAER; 9 583,33   ;;;;;
RESIGNEUSE;M11; 100,00   ;;;;;
UPN;80 EN 6 MT; 470,83   ;;;;;
DISJONCTEUR;2P 25A SCHNIDER; 75,00   ;;;;;
DISJONCTEUR;2P 32A SCHNIDER; 104,17   ;;;;;
BORNNE;6MM2 S/R; 4,58   ;;;;;
BORNNE;6MM2 VRJ; 6,67   ;;;;;
CABLE ELECTRIQUE SOUPLE;1 MM2; 2,92   ;;;;;
SCOTCH NOIR;GM; 7,08   ;;;;;
COLLIER COLSANT;4,7X450MM; 29,17   ;;;;;
CABLE ELECTRIQUE SOUPLE;4X6MM2; 40,00   ;;;;;
PROLONGATEUR;3P+T 32A; 105,00   ;;;;;
FICHE MALE;3P+T 32A; 95,83   ;;;;;
DISQUE A COUPER;230X3,20; 13,00   ;;;;;
DISQUE A MEULER;230X6,40; 24,00   ;;;;;
TOLE NERVECSO PRELAQUE;5000X1000X6/10; 100,00   ;;;;;
TOLE NERVECSO PRELAQUE;5000X1000X6/10; 100,00   ;;;;;
TOLE NERVECSO PRELAQUE;6000X1000X6/10; 100,00   ;;;;;
TOLE NERVECSO PRELAQUE;6000X1000X6/10; 100,00   ;;;;;
TIGE TOITURE;7X300 AVEC ECROU+EONDELLE; 2,08   ;;;;;
REDUCTEUR DE FREIN;BONNE OCCASION; 9 000,00   ;;;;;
VIS;HR 12X50 A/E NYLSTOP; 4,00   ;;;;;
POMPE A EAU;IVECO; 641,67   ;;;;;
FILTRE A HUILE;DUSTER 4X4; 25,00   ;;;;;
FILTRE A AIR;DUSTER 4X4; 50,00   ;;;;;
FILTRE A GASOIL;DUSTER 4X4; 141,67   ;;;;;
PAPIER A JOINT;1MM; 50,00   ;;;;;
ECHELLE TRANSFORMABLE;3M+3M; 1 100,00   ;;;;;
IMPERMEABLE ;VESTE ET PANTALLON; 135,00   ;;;;;
VIS;HR 12X40 A/E NYLSTOP; 3,00   ;;;;;
VIS;HR 14X40 A/E NYLSTOP; 4,50   ;;;;;
VIS;HR 8X35 A/E NYLSTOP; 1,50   ;;;;;
CLE MIXTE;10; 15,00   ;;;;;
CLE MIXTE;13; 20,00   ;;;;;
CLE MIXTE;19; 35,00   ;;;;;
CLE MIXTE;22; 40,00   ;;;;;
CLE A PIPE;10; 18,00   ;;;;;
CLE A PIPE;13; 20,00   ;;;;;
CLE A PIPE;19; 40,00   ;;;;;
CLE A PIPE;22; 50,00   ;;;;;
JONCTION ;"3"""; 208,56   ;;;;;
MANCHON ;"3"" NOIR EE"; 50,40   ;;;;;
VANNE A BILLE;"2"" SIRAL"; 540,00   ;;;;;
TUBE SABLE;65X85; 280,12   ;;;;;
COLLIER ROBUSTE;85X91; 24,50   ;;;;;
RACCORD UNION;"2"" NOIR EE"; 154,00   ;;;;;
RECHARGE CARTE CARBURANT;N°21742976; 4 545,45   ;;;;;
RACCORD PEHD;"50X2"" MALE"; 92,00   ;;;;;
VANNE A BILLE;"1"" SIRAL"; 150,00   ;;;;;
ELECTROPOMPE;PM80 0,80 220V; 916,67   ;;;;;
ECROU;KM 18 ACE; 66,67   ;;;;;
FREIN ;MB 18 ACE; 14,00   ;;;;;
ROULEMENT A BILLE;7219 NSK; 1 385,00   ;;;;;
ROULEMENT A BILLE;6027 2RS C3 Z2V2 GULLMAN; 37,50   ;;;;;
ROULEMENT A BILLE;6015 2RS C3 Z2V2 GULLMAN; 100,00   ;;;;;
ROULEMENT A BILLE;6308 2RS KOFFMAN; 63,00   ;;;;;
ROULEMENT A BUTEE;51208 FNR; 34,10   ;;;;;
ROULEMENT A BILLE;6010 2RS C3 Z2V2 GULLMAN; 35,00   ;;;;;
ARRET D'HUILE;50X80X10; 21,00   ;;;;;
ARRET D'HUILE;50X80X8; 21,00   ;;;;;
ARRET D'HUILE;65X100X10; 33,34   ;;;;;
BOULON;HR 16X120 AVEC ECROUS NYLSOP; 12,00   ;;;;;
MOTEUR HYDRAULIQUE;N°160 DANFOSS; 7 000,00   ;;;;;
HUILE;15W40 SUPER 1300 204LT; 6 685,00   ;;;;;
GRAISSE;MP2 18KG; 720,00   ;;;;;
HUILE;HD 140 20LT; 651,67   ;;;;;
HUILE;DTE 26 208LT; 8 200,00   ;;;;;
ANTIGEL;G4033 VASCO 20LT; 540,00   ;;;;;
TUBE PEHD;50 PN16; 22,50   ;;;;;
CABLE ELECTRIQUE SOUPLE;4X16; 103,33   ;;;;;
ELECTRODE DE NIVEAU;; 37,50   ;;;;;
DISQUE A COUPER;230X3X22,23; 23,00   ;;;;;
COLLE REINZ;; 50,00   ;;;;;
CLE MALE COUDE;14; 50,00   ;;;;;
DOUILLE;XZN; 40,00   ;;;;;
TIGE CHROME;D 70 LG=1180MM; 1 425,00   ;;;;;
TOLE NOIR;3000X1500X4MM; 2 160,00   ;;;;;
TOLE NOIR;6000X1500X4MM; 4 320,00   ;;;;;
POLYAMIDE;PA6 D 160 LG=1000MM; 105,00   ;;;;;
ACIER ROND;42CD4 D 45 LG=1000MM; 23,00   ;;;;;
TIGE CHROME;D 70X1180MM; 1 681,50   ;;;;;
TUBE RODE;ST52 D 100X90 LG=140MM; 1 250,00   ;;;;;
FILTRE A AIR;AF 26389/90; 500,00   ;;;;;
FILTRE HYDRAULIQUE;H30728 B25=2000761845; 958,00   ;;;;;
COURROIE;R123454/1635; 338,50   ;;;;;
ARRET D'HUILE;43X65X8 ORIGINAL; 480,00   ;;;;;
ARRET D'HUILE;110X130X12 A VITON; 390,00   ;;;;;
RECHARGE CARTE JAWAZ;N°22431105349; 833,33   ;;;;;
MOTEUR HYDRAULIQUE;A6V M80; 8 000,00   ;;;;;
GARNISSAGE CEINTURE;; 726,00   ;;;;;
ENTRETIEN POMPE A EAU;; 500,00   ;;;;;
BOBINAGE MOTEUR ;; 1 500,00   ;;;;;
REPARATION TREUIL ELECTRIQUE;; 7 200,00   ;;;;;
CONTACT DE DEMARRAGE ;; 125,00   ;;;;;
PAPIER A JOINT;1MM; 83,33   ;;;;;
RIVET;4X20; 0,12   ;;;;;
GALET OMEGA;50 LOCALE; 108,00   ;;;;;
RECHARGE CARTE CARBURANT;N°1895806; 5 454,55   ;;;;;
CAROTTIER DOUBLE COMPLET;86T2 LG=1500MM; 7 200,00   ;;;;;
COURONNE IMPREGNEE;86T2; 2 800,00   ;;;;;
LOCATION CAMION PLATEAU;; 7 000,00   ;;;;;
ELECTRODE;6013 D 3,20X350; 110,00   ;;;;;
DISQUE A COUPER;230X3,20; 18,00   ;;;;;
TE EGALE;3/4 FFF; 150,00   ;;;;;
CLAPET ANT-RETOUR;"3/4"""; 211,00   ;;;;;
TIGE DE TOITURE;7X300 AVEC ECROU+EONDELLE; 2,08   ;;;;;
POMPE A EAU;2,2KW 380V CURCLIER; 3 000,00   ;;;;;
LOCATION CAMION PLATEAU;SAFI-SIDI HAJJAJ; 4 000,00   ;;;;;
DEBOUCHAGE ET NETTOYAGE RADIATEUR;KOMATSU; 1 000,00   ;;;;;
REPARATION POMPE D'INJECTION;KOMATSU; 1 699,98   ;;;;;
HUILE;PAROIL S 20L  1630016100; 5 000,00   ;;;;;
KIT SEPARATEUR;2911011203; 4 879,20   ;;;;;
HUILE;CAN PAROIL E 20L 1615595400; 1 750,00   ;;;;;
FILTRE A AIR;2914501800; 2 744,00   ;;;;;
FILTRE A AIR;2914830700; 1 788,00   ;;;;;
FILTRE A GASOIL;2914830700; 750,00   ;;;;;
FILTRE HYDRAULIQUE;1202804093; 980,00   ;;;;;
LOCATION PICK-UP;35064-A-36; 291,67   ;;;;;
ROULEMENT A BUTEE;51305 P6 GULLMAN; 33,34   ;;;;;
CARNET ;DEMANDE DE FOURNITURE; 48,00   ;;;;;
CARNET ;DEMANDE DE RECEPTION; 48,00   ;;;;;
CARNET ;BORDEREAU D'EXPEDITION; 58,00   ;;;;;
LOCATION PICK-UP;TOYOTA 18914-B-59; 250,00   ;;;;;
GASOIL;; 9,58   ;;;;;
PC PORTABLE;"ASUS VIVOBOOK K3605VU i9-13900 H 16"" 16gO-512 SSD SILVER"; 10 575,00   ;;;;;
CONFECTION D'UN AXE DENTE;BOÏTE TRANSFERT; 1 700,00   ;;;;;
CONFECTION PIGNON MOTRICE;D 100 MM EP 65MM; 1 200,00   ;;;;;
CONFECTION PIGNON DROIT;D 170 MM EP 65MM; 1 800,00   ;;;;;
RECHARGE CARTE CARBURANT;FREE N°2174260; 5 454,55   ;;;;;
CAROTTIER DOUBLE COMPLET;101T6 LG=3000MM CR42; 12 150,00   ;;;;;
HUILE;DTE 26 20LT; 1 100,00   ;;;;;
HUILE;15W40 SUPER 1300 204LT; 6 685,00   ;;;;;
FILTRE A AIR;R893=S6550A; 408,00   ;;;;;
FILTRE A AIR;R894; 228,00   ;;;;;
FILTRE A GASOIL;1R0750=FF750; 155,00   ;;;;;
FILTRE A GASOIL;600.411.1151=FW2073; 169,00   ;;;;;
FILTRE A HUIL;600.211.161=FL670; 202,00   ;;;;;
REPARATION BUKET;D 800 MM; 30 000,00   ;;;;;
ROULEMENT A BILLE;6305 ZZC3 FNR; 17,60   ;;;;;
ROULEMENT A BILLE;6202 ZZC3 Z2V2 GULLMAN; 11,39   ;;;;;
COURROIE;C 59; 78,04   ;;;;;
SERRE CABLE;D 10MM; 2,50   ;;;;;
ARRET D'HUILE;60X85X10; 25,00   ;;;;;
REGFILTAGE D'UN FALAONGE;76 ATLAS; 400,00   ;;;;;
CONFECTION D'UN FALAONGE;D 180MM F76 ATLAS; 2 000,00   ;;;;;
CONFECTION REDUCTION;76X50 F; 1 200,00   ;;;;;
CONFECTION REDUCTION;60X55 F; 1 000,00   ;;;;;
CONFECTION D'UN PIGNON;S/M; 1 700,00   ;;;;;
CONFECTION D'UN BLOC;101 M X60 XONIQUE F; 1 800,00   ;;;;;
AGITEMENT D'UNE TURBINE;S/M; 450,00   ;;;;;
CONFECTION D'UN ECROU;S/M; 200,00   ;;;;;
CONFECTION D'UN ECROU;POUR EMMENCHEMENT S/M; 400,00   ;;;;;
CONFECTION MORS;; 400,00   ;;;;;
RECHARGE ET TOURNAGE AXE ACCOUPLEMENT;; 200,00   ;;;;;
CONFECTION D'UN ECROU;BROCHE S/M; 200,00   ;;;;;
CONFECTION D'UN AXE;D'ACCOUPELEMNT; 1 400,00   ;;;;;
CONFECTION NIPLE;S/M; 700,00   ;;;;;
COURONNE IMPREGNEE;101T6 A9; 3 980,00   ;;;;;
MANCHON ALESEUR;101T6; 1 675,00   ;;;;;
PORTE EXTRACTEUR;101T6; 310,00   ;;;;;
COURROIE;1183420 1487 MM; 985,51   ;;;;;
GROUPE ELECTROGENE;QTS 180 CUD 50HZ 400V3HP INSONORISE A/C CAPOT CUMMINS; 240 000,00   ;;;;;
SERVICE PACK;400H BOXD,E 3002609480; 2 990,00   ;;;;;
HUILE;E 20L; 1 750,00   ;;;;;
FORFAIT MAIN D'ŒUVRE ET DEPLACEMENT;; 7 800,00   ;;;;;
OXYGENE;; 46,69   ;;;;;
OBTURATEUR SIMPLE;R 74 LG=1000 MM; 4 600,00   ;;;;;
OBTURATEUR SIMPLE;R 84 LG=1000 MM; 5 600,00   ;;;;;
CAISSE A CAROTTE;PVC A 5 RANGERS AVEC COUVERCLE; 220,00   ;;;;;
TIGE;"2""3/8 LG=1500mm"; 1 250,00   ;;;;;
TAILLANT A BOUTON ;105 DHD 3,5; 2 083,33   ;;;;;
COULISSE;50 ITALY LG=6 MT; 541,67   ;;;;;
GALET OMEGA;50 LOCALE; 90,00   ;;;;;
ROULEMENT A BILLE;NU 2206 KG; 100,00   ;;;;;
ROULEMENT A BILLE;6206 2RS C3 Z2V2 GULLMAN; 31,13   ;;;;;
ROULEMENT A BILLE;6007 2RS Z2V2 GULLMAN; 26,40   ;;;;;
